Local_Auth_Code,x,y,geo_area,EU_zone_agglom_01,Total_NO2_23,unit
E08000019,430500,396500,6,34,6.341562,ug/m3
E08000019,432500,396500,6,34,7.122777,ug/m3
E08000019,433500,396500,6,34,7.949298,ug/m3
E08000019,434500,396500,6,7,8.853233,ug/m3
E08000019,435500,396500,6,7,9.480291,ug/m3
E08000019,436500,396500,6,34,11.50907,ug/m3
E08000019,417500,395500,6,34,4.263381,ug/m3
E08000019,418500,395500,6,34,4.375644,ug/m3
E08000019,419500,395500,6,34,4.437166,ug/m3
E08000019,420500,395500,6,34,4.536899,ug/m3
E08000019,421500,395500,6,34,4.661593,ug/m3
E08000019,422500,395500,6,34,4.780146,ug/m3
E08000019,423500,395500,6,34,4.922126,ug/m3
E08000019,424500,395500,6,34,5.137047,ug/m3
E08000019,425500,395500,6,34,5.336315,ug/m3
E08000019,426500,395500,6,34,5.517128,ug/m3
E08000019,427500,395500,6,34,5.710009,ug/m3
E08000019,428500,395500,6,34,5.87722,ug/m3
E08000019,429500,395500,6,34,6.342662,ug/m3
E08000019,432500,395500,6,34,6.983922,ug/m3
E08000019,433500,395500,6,34,7.894077,ug/m3
E08000019,434500,395500,6,34,8.210726,ug/m3
E08000019,435500,395500,6,7,9.261552,ug/m3
E08000019,436500,395500,6,34,12.39792,ug/m3
E08000019,417500,394500,6,34,4.28038,ug/m3
E08000019,418500,394500,6,34,4.373966,ug/m3
E08000019,419500,394500,6,34,4.431524,ug/m3
E08000019,420500,394500,6,34,4.530719,ug/m3
E08000019,421500,394500,6,34,4.653602,ug/m3
E08000019,422500,394500,6,34,4.769609,ug/m3
E08000019,423500,394500,6,34,4.909767,ug/m3
E08000019,424500,394500,6,34,5.101814,ug/m3
E08000019,425500,394500,6,34,5.277093,ug/m3
E08000019,426500,394500,6,34,5.430554,ug/m3
E08000019,427500,394500,6,34,5.647243,ug/m3
E08000019,428500,394500,6,34,5.884827,ug/m3
E08000019,429500,394500,6,34,6.53037,ug/m3
E08000019,432500,394500,6,34,7.191612,ug/m3
E08000019,433500,394500,6,34,8.241997,ug/m3
E08000019,434500,394500,6,34,8.27726,ug/m3
E08000019,435500,394500,6,34,9.621127,ug/m3
E08000019,436500,394500,6,34,12.36778,ug/m3
E08000019,417500,393500,6,34,4.279241,ug/m3
E08000019,418500,393500,6,34,4.366213,ug/m3
E08000019,419500,393500,6,34,4.425382,ug/m3
E08000019,420500,393500,6,34,4.52418,ug/m3
E08000019,421500,393500,6,34,4.641228,ug/m3
E08000019,422500,393500,6,34,4.751883,ug/m3
E08000019,423500,393500,6,34,4.885889,ug/m3
E08000019,424500,393500,6,34,5.063684,ug/m3
E08000019,425500,393500,6,34,5.245656,ug/m3
E08000019,426500,393500,6,34,5.424709,ug/m3
E08000019,427500,393500,6,34,5.644392,ug/m3
E08000019,428500,393500,6,34,5.877397,ug/m3
E08000019,429500,393500,6,34,6.205685,ug/m3
E08000019,430500,393500,6,34,7.036696,ug/m3
E08000019,431500,393500,6,34,7.16723,ug/m3
E08000019,432500,393500,6,34,7.544892,ug/m3
E08000019,433500,393500,6,7,9.046715,ug/m3
E08000019,434500,393500,6,34,9.21035,ug/m3
E08000019,435500,393500,6,7,10.02315,ug/m3
E08000019,436500,393500,6,7,10.66215,ug/m3
E08000019,437500,393500,6,34,12.46471,ug/m3
E08000019,417500,392500,6,34,4.317546,ug/m3
E08000019,418500,392500,6,34,4.386138,ug/m3
E08000019,419500,392500,6,34,4.460721,ug/m3
E08000019,420500,392500,6,34,4.554703,ug/m3
E08000019,421500,392500,6,34,4.666438,ug/m3
E08000019,422500,392500,6,34,4.756996,ug/m3
E08000019,423500,392500,6,34,4.89146,ug/m3
E08000019,424500,392500,6,34,5.059791,ug/m3
E08000019,425500,392500,6,34,5.209443,ug/m3
E08000019,426500,392500,6,34,5.432648,ug/m3
E08000019,427500,392500,6,34,5.636107,ug/m3
E08000019,428500,392500,6,34,5.848627,ug/m3
E08000019,429500,392500,6,34,6.173019,ug/m3
E08000019,430500,392500,6,34,6.765519,ug/m3
E08000019,431500,392500,6,34,8.313146,ug/m3
E08000019,432500,392500,6,34,7.957087,ug/m3
E08000019,433500,392500,6,7,9.615906,ug/m3
E08000019,434500,392500,6,7,9.973648,ug/m3
E08000019,435500,392500,6,7,10.16557,ug/m3
E08000019,436500,392500,6,7,10.96941,ug/m3
E08000019,437500,392500,6,7,11.17964,ug/m3
E08000019,438500,392500,6,7,14.12212,ug/m3
E08000019,418500,391500,6,34,4.405494,ug/m3
E08000019,419500,391500,6,34,4.481931,ug/m3
E08000019,420500,391500,6,34,4.575464,ug/m3
E08000019,421500,391500,6,34,4.702237,ug/m3
E08000019,422500,391500,6,34,4.794384,ug/m3
E08000019,423500,391500,6,34,4.945031,ug/m3
E08000019,424500,391500,6,34,5.0733,ug/m3
E08000019,425500,391500,6,34,5.233477,ug/m3
E08000019,426500,391500,6,34,5.459914,ug/m3
E08000019,427500,391500,6,34,5.651048,ug/m3
E08000019,428500,391500,6,34,5.911777,ug/m3
E08000019,429500,391500,6,34,6.212865,ug/m3
E08000019,430500,391500,6,34,6.742604,ug/m3
E08000019,431500,391500,6,34,7.549794,ug/m3
E08000019,432500,391500,6,7,8.81391,ug/m3
E08000019,433500,391500,6,7,10.67581,ug/m3
E08000019,434500,391500,6,7,10.58856,ug/m3
E08000019,435500,391500,6,7,10.92516,ug/m3
E08000019,436500,391500,6,7,11.97949,ug/m3
E08000019,437500,391500,6,7,12.17937,ug/m3
E08000019,438500,391500,6,7,13.78982,ug/m3
E08000019,439500,391500,6,7,19.69774,ug/m3
E08000019,440500,391500,6,7,16.3941,ug/m3
E08000019,420500,390500,6,34,4.640296,ug/m3
E08000019,421500,390500,6,34,4.748784,ug/m3
E08000019,422500,390500,6,34,4.860365,ug/m3
E08000019,423500,390500,6,34,4.958486,ug/m3
E08000019,424500,390500,6,34,5.096225,ug/m3
E08000019,425500,390500,6,34,5.235996,ug/m3
E08000019,426500,390500,6,34,5.417663,ug/m3
E08000019,427500,390500,6,34,5.723729,ug/m3
E08000019,428500,390500,6,34,6.005803,ug/m3
E08000019,429500,390500,6,34,6.32968,ug/m3
E08000019,430500,390500,6,34,6.902816,ug/m3
E08000019,431500,390500,6,34,7.765742,ug/m3
E08000019,432500,390500,6,7,9.519512,ug/m3
E08000019,433500,390500,6,7,12.82687,ug/m3
E08000019,434500,390500,6,7,11.22546,ug/m3
E08000019,435500,390500,6,7,12.12664,ug/m3
E08000019,436500,390500,6,7,14.74185,ug/m3
E08000019,437500,390500,6,7,13.69757,ug/m3
E08000019,438500,390500,6,7,15.87501,ug/m3
E08000019,439500,390500,6,7,16.39617,ug/m3
E08000019,440500,390500,6,7,15.59599,ug/m3
E08000019,420500,389500,6,34,4.65229,ug/m3
E08000019,421500,389500,6,34,4.749062,ug/m3
E08000019,422500,389500,6,34,4.842015,ug/m3
E08000019,423500,389500,6,34,4.946956,ug/m3
E08000019,424500,389500,6,34,5.037575,ug/m3
E08000019,425500,389500,6,34,5.183713,ug/m3
E08000019,426500,389500,6,34,5.377395,ug/m3
E08000019,427500,389500,6,34,5.673499,ug/m3
E08000019,428500,389500,6,34,6.02945,ug/m3
E08000019,429500,389500,6,34,6.328718,ug/m3
E08000019,430500,389500,6,34,7.153747,ug/m3
E08000019,431500,389500,6,34,8.138772,ug/m3
E08000019,432500,389500,6,7,10.10716,ug/m3
E08000019,433500,389500,6,7,14.29002,ug/m3
E08000019,434500,389500,6,7,13.68928,ug/m3
E08000019,435500,389500,6,7,12.30316,ug/m3
E08000019,436500,389500,6,7,13.5218,ug/m3
E08000019,437500,389500,6,7,16.23021,ug/m3
E08000019,438500,389500,6,7,16.56589,ug/m3
E08000019,439500,389500,6,7,15.75748,ug/m3
E08000019,440500,389500,6,7,14.91093,ug/m3
E08000019,422500,388500,6,34,4.802435,ug/m3
E08000019,423500,388500,6,34,5.027824,ug/m3
E08000019,424500,388500,6,34,5.123204,ug/m3
E08000019,425500,388500,6,34,5.219244,ug/m3
E08000019,426500,388500,6,34,5.395654,ug/m3
E08000019,427500,388500,6,34,5.689173,ug/m3
E08000019,428500,388500,6,34,6.020084,ug/m3
E08000019,429500,388500,6,34,6.598431,ug/m3
E08000019,430500,388500,6,7,7.665068,ug/m3
E08000019,431500,388500,6,7,8.684508,ug/m3
E08000019,432500,388500,6,7,9.688066,ug/m3
E08000019,433500,388500,6,7,10.88263,ug/m3
E08000019,434500,388500,6,7,13.56319,ug/m3
E08000019,435500,388500,6,7,14.36857,ug/m3
E08000019,436500,388500,6,7,18.92912,ug/m3
E08000019,437500,388500,6,7,19.5915,ug/m3
E08000019,438500,388500,6,7,14.57485,ug/m3
E08000019,439500,388500,6,7,14.13173,ug/m3
E08000019,440500,388500,6,34,12.2527,ug/m3
E08000019,423500,387500,6,34,5.015856,ug/m3
E08000019,424500,387500,6,34,5.14552,ug/m3
E08000019,425500,387500,6,34,5.314717,ug/m3
E08000019,426500,387500,6,34,5.524492,ug/m3
E08000019,427500,387500,6,34,5.75363,ug/m3
E08000019,428500,387500,6,34,6.182487,ug/m3
E08000019,429500,387500,6,34,6.783587,ug/m3
E08000019,430500,387500,6,34,7.326465,ug/m3
E08000019,431500,387500,6,34,8.382867,ug/m3
E08000019,432500,387500,6,7,9.613196,ug/m3
E08000019,433500,387500,6,7,11.26491,ug/m3
E08000019,434500,387500,6,7,14.19172,ug/m3
E08000019,435500,387500,6,7,15.94958,ug/m3
E08000019,436500,387500,6,7,17.1911,ug/m3
E08000019,437500,387500,6,7,14.9168,ug/m3
E08000019,438500,387500,6,7,13.51308,ug/m3
E08000019,439500,387500,6,7,13.13022,ug/m3
E08000019,440500,387500,6,34,12.66576,ug/m3
E08000019,423500,386500,6,34,4.997826,ug/m3
E08000019,424500,386500,6,34,5.097747,ug/m3
E08000019,425500,386500,6,34,5.207041,ug/m3
E08000019,426500,386500,6,34,5.404193,ug/m3
E08000019,427500,386500,6,34,5.714383,ug/m3
E08000019,428500,386500,6,34,6.215355,ug/m3
E08000019,429500,386500,6,34,6.798904,ug/m3
E08000019,430500,386500,6,7,7.589463,ug/m3
E08000019,431500,386500,6,7,8.601802,ug/m3
E08000019,432500,386500,6,7,9.911763,ug/m3
E08000019,433500,386500,6,7,13.10439,ug/m3
E08000019,434500,386500,6,7,13.00239,ug/m3
E08000019,435500,386500,6,7,14.515930000000001,ug/m3
E08000019,436500,386500,6,7,12.75444,ug/m3
E08000019,437500,386500,6,7,11.807,ug/m3
E08000019,438500,386500,6,7,12.51533,ug/m3
E08000019,439500,386500,6,34,12.92708,ug/m3
E08000019,440500,386500,6,7,12.46594,ug/m3
E08000019,441500,386500,6,34,11.18607,ug/m3
E08000019,423500,385500,6,34,5.030521,ug/m3
E08000019,424500,385500,6,34,5.119315,ug/m3
E08000019,425500,385500,6,34,5.222868,ug/m3
E08000019,426500,385500,6,34,5.398362,ug/m3
E08000019,427500,385500,6,34,5.644918,ug/m3
E08000019,428500,385500,6,34,6.056632,ug/m3
E08000019,429500,385500,6,7,6.706946,ug/m3
E08000019,430500,385500,6,7,7.513134,ug/m3
E08000019,431500,385500,6,7,8.366358,ug/m3
E08000019,432500,385500,6,7,9.836493,ug/m3
E08000019,433500,385500,6,7,11.01497,ug/m3
E08000019,434500,385500,6,7,11.49078,ug/m3
E08000019,435500,385500,6,7,12.85093,ug/m3
E08000019,436500,385500,6,7,11.19363,ug/m3
E08000019,437500,385500,6,7,10.80409,ug/m3
E08000019,438500,385500,6,7,11.51336,ug/m3
E08000019,439500,385500,6,7,11.07404,ug/m3
E08000019,440500,385500,6,7,11.06517,ug/m3
E08000019,441500,385500,6,34,10.86089,ug/m3
E08000019,442500,385500,6,7,10.61748,ug/m3
E08000019,424500,384500,6,34,5.131647,ug/m3
E08000019,425500,384500,6,34,5.197092,ug/m3
E08000019,426500,384500,6,34,5.342325,ug/m3
E08000019,427500,384500,6,34,5.573785,ug/m3
E08000019,428500,384500,6,34,5.890799,ug/m3
E08000019,429500,384500,6,34,6.251281,ug/m3
E08000019,430500,384500,6,34,6.857231,ug/m3
E08000019,431500,384500,6,34,7.978121,ug/m3
E08000019,432500,384500,6,7,9.542063,ug/m3
E08000019,433500,384500,6,7,9.754192,ug/m3
E08000019,434500,384500,6,7,11.80491,ug/m3
E08000019,435500,384500,6,7,10.93538,ug/m3
E08000019,436500,384500,6,7,10.32089,ug/m3
E08000019,437500,384500,6,7,10.17257,ug/m3
E08000019,438500,384500,6,7,11.40719,ug/m3
E08000019,439500,384500,6,7,11.06917,ug/m3
E08000019,440500,384500,6,34,10.22567,ug/m3
E08000019,441500,384500,6,7,10.02895,ug/m3
E08000019,442500,384500,6,7,10.3307,ug/m3
E08000019,443500,384500,6,34,10.0789,ug/m3
E08000019,427500,383500,6,34,5.523978,ug/m3
E08000019,428500,383500,6,34,5.80396,ug/m3
E08000019,429500,383500,6,34,6.24966,ug/m3
E08000019,430500,383500,6,34,6.704989,ug/m3
E08000019,431500,383500,6,7,8.253252,ug/m3
E08000019,432500,383500,6,7,8.625045,ug/m3
E08000019,433500,383500,6,7,9.837523,ug/m3
E08000019,434500,383500,6,7,10.75783,ug/m3
E08000019,435500,383500,6,7,10.11672,ug/m3
E08000019,436500,383500,6,7,9.254104,ug/m3
E08000019,437500,383500,6,7,9.636656,ug/m3
E08000019,438500,383500,6,7,10.74475,ug/m3
E08000019,439500,383500,6,7,9.845572,ug/m3
E08000019,440500,383500,6,7,9.984286,ug/m3
E08000019,441500,383500,6,7,10.13262,ug/m3
E08000019,442500,383500,6,34,11.66425,ug/m3
E08000019,443500,383500,6,7,10.13923,ug/m3
E08000019,444500,383500,6,34,9.905183,ug/m3
E08000019,426500,382500,6,34,5.329439,ug/m3
E08000019,427500,382500,6,34,5.490523,ug/m3
E08000019,428500,382500,6,34,5.767503,ug/m3
E08000019,429500,382500,6,34,6.26086,ug/m3
E08000019,430500,382500,6,34,6.811835,ug/m3
E08000019,431500,382500,6,7,7.850495,ug/m3
E08000019,432500,382500,6,34,8.765764,ug/m3
E08000019,433500,382500,6,7,9.273965,ug/m3
E08000019,434500,382500,6,7,9.55324,ug/m3
E08000019,435500,382500,6,7,8.957685,ug/m3
E08000019,436500,382500,6,7,9.171991,ug/m3
E08000019,437500,382500,6,7,9.491177,ug/m3
E08000019,438500,382500,6,7,8.776664,ug/m3
E08000019,440500,382500,6,34,8.881122,ug/m3
E08000019,441500,382500,6,34,9.168571,ug/m3
E08000019,442500,382500,6,7,9.260603,ug/m3
E08000019,443500,382500,6,7,9.945607,ug/m3
E08000019,444500,382500,6,7,10.34977,ug/m3
E08000019,425500,381500,6,34,5.233724,ug/m3
E08000019,426500,381500,6,34,5.342207,ug/m3
E08000019,427500,381500,6,34,5.525633,ug/m3
E08000019,428500,381500,6,34,5.847431,ug/m3
E08000019,429500,381500,6,34,6.241751,ug/m3
E08000019,430500,381500,6,7,7.170267,ug/m3
E08000019,431500,381500,6,34,7.575311,ug/m3
E08000019,432500,381500,6,34,8.595368,ug/m3
E08000019,433500,381500,6,34,8.280321,ug/m3
E08000019,434500,381500,6,7,9.014196,ug/m3
E08000019,435500,381500,6,7,9.841973,ug/m3
E08000019,441500,381500,6,34,8.708928,ug/m3
E08000019,442500,381500,6,34,9.238084,ug/m3
E08000019,443500,381500,6,7,9.810676,ug/m3
E08000019,444500,381500,6,7,12.13694,ug/m3
E08000019,425500,380500,6,34,5.333581,ug/m3
E08000019,426500,380500,6,34,5.510892,ug/m3
E08000019,427500,380500,6,34,5.67251,ug/m3
E08000019,428500,380500,6,34,5.897505,ug/m3
E08000019,429500,380500,6,34,6.186453,ug/m3
E08000019,430500,380500,6,7,7.278696,ug/m3
E08000019,431500,380500,6,7,8.263956,ug/m3
E08000019,432500,380500,6,7,8.7518,ug/m3
E08000019,433500,380500,6,7,8.605545,ug/m3
E08000019,434500,380500,6,7,8.740321,ug/m3
E08000019,435500,380500,6,7,9.411368,ug/m3
E08000019,441500,380500,6,34,7.943357,ug/m3
E08000019,442500,380500,6,34,8.706015,ug/m3
E08000019,443500,380500,6,7,9.19471,ug/m3
E08000019,429500,379500,6,34,6.510072,ug/m3
E08000019,430500,379500,6,34,6.982544,ug/m3
E08000019,431500,379500,6,7,7.397792,ug/m3
